,word,pos,definition
92818,Malma,n.,"A spotted trout (Salvelinus malma), inhabiting Northern America, west of the Rocky Mountains; -- called also Dolly Varden trout, bull trout, red-spotted trout, and golet."
92859,Malty,a.,"Consisting, or like, malt."
92861,Malum,n.,An evil. See Mala.
92872,Mamma,n.,Mother; -- word of tenderness and familiarity.
92874,Mamma,n.,"A glandular organ for secreting milk, characteristic of all mammals, but usually rudimentary in the male; a mammary gland; a breast; under; bag."
92916,Mammy,n.,"A child's name for mamma, mother."
92970,Manca,n.,See Mancus.
93038,Maned,a.,Having a mane.
93041,Maneh,n.,"A Hebrew weight for gold or silver, being one hundred shekels of gold and sixty shekels of silver."
93045,Manes,n. pl.,"The benevolent spirits of the dead, especially of dead ancestors, regarded as family deities and protectors."
93079,Mange,n.,"The scab or itch in cattle, dogs, and other beasts."
93094,Mango,n.,"The fruit of the mango tree. It is rather larger than an apple, and of an ovoid shape. Some varieties are fleshy and luscious, and others tough and tasting of turpentine. The green fruit is pickled for market."
93095,Mango,n.,A green muskmelon stuffed and pickled.
93107,Mangy,superl.,Infected with the mange; scabby.
93113,Mania,n.,Violent derangement of mind; madness; insanity.  Cf. Delirium.
93114,Mania,n.,"Excessive or unreasonable desire; insane passion affecting one or many people; as, the tulip mania."
93131,Manid,n.,"Any species of the genus Manis, or family Manidae."
93132,Manie,n.,Mania; insanity.
93191,Manis,n.,"A genus of edentates, covered with large, hard, triangular scales, with sharp edges that overlap each other like tiles on a roof. They inhabit the warmest parts of Asia and Africa, and feed on ants. Called also Scaly anteater. See Pangolin."
93200,Manks,a.,Of or pertaining to the language or people of the of Man.
93201,Manks,n.,The language spoken in the Isle of Man. See Manx.
93208,Manly,superl.,"Having qualities becoming to a man; not childish or womanish; manlike, esp. brave, courageous, resolute, noble."
93209,Manly,adv.,"In a manly manner; with the courage and fortitude of a manly man; as, to act manly."
93210,Manna,n.,"The food supplied to the Israelites in their journey through the wilderness of Arabia; hence, divinely supplied food."
93211,Manna,n.,"A name given to lichens of the genus Lecanora, sometimes blown into heaps in the deserts of Arabia and Africa, and gathered and used as food."
93212,Manna,n.,"A sweetish exudation in the form of pale yellow friable flakes, coming from several trees and shrubs and used in medicine as a gentle laxative, as the secretion of Fraxinus Ornus, and F. rotundifolia, the manna ashes of Southern Europe."
93247,Manor,n.,"The land belonging to a lord or nobleman, or so much land as a lord or great personage kept in his own hands, for the use and subsistence of his family."
93248,Manor,n.,"A tract of land occupied by tenants who pay a free-farm rent to the proprietor, sometimes in kind, and sometimes by performing certain stipulated services."
93258,Manse,n.,"A dwelling house, generally with land attached."
93259,Manse,n.,The parsonage; a clergyman's house.
93276,Manta,n.,See Coleoptera and Sea devil.
93312,Manto,n.,See Manteau.
93342,-ries,pl. ,of Manufactory
93357,Manul,n.,"A wild cat (Felis manul), having long, soft, light-colored fur. It is found in the mountains of Central Asia, and dwells among rocks."
93378,Manus,pl. ,of Manus
93379,Manus,n.,"The distal segment of the fore limb, including the carpus and fore foot or hand."
93400,Maori,n.,"One of the aboriginal inhabitants of New Zealand; also, the original language of New Zealand."
93401,Maori,a.,Of or pertaining to the Maoris or to their language.
93408,Maple,n.,"A tree of the genus Acer, including about fifty species. A. saccharinum is the rock maple, or sugar maple, from the sap of which sugar is made, in the United States, in great quantities, by evaporation; the red or swamp maple is A. rubrum; the silver maple, A. dasycarpum, having fruit wooly when young; the striped maple, A. Pennsylvanium, called also moosewood. The common maple of Europe is A. campestre, the sycamore maple is A. Pseudo-platanus, and the Norway maple is A. platanoides."
93411,Maqui,n.,"A Chilian shrub (Aristotelia Maqui). Its bark furnishes strings for musical instruments, and a medicinal wine is made from its berries."
93425,Marai,n.,A sacred inclosure or temple; -- so called by the islanders of the Pacific Ocean.
93471,March,n.,"The third month of the year, containing thirty-one days."
93472,March,n.,"A territorial border or frontier; a region adjacent to a boundary line; a confine; -- used chiefly in the plural, and in English history applied especially to the border land on the frontiers between England and Scotland, and England and Wales."
93473,March,v. i.,To border; to be contiguous; to lie side by side.
93476,March,v. i.,"To move with regular steps, as a soldier; to walk in a grave, deliberate, or stately manner; to advance steadily."
93477,March,v. i.,"To proceed by walking in a body or in military order; as, the German army marched into France."
93478,March,v. t.,"TO cause to move with regular steps in the manner of a soldier; to cause to move in military array, or in a body, as troops; to cause to advance in a steady, regular, or stately manner; to cause to go by peremptory command, or by force."
93479,March,n.,The act of marching; a movement of soldiers from one stopping place to another; military progress; advance of troops.
93480,March,n.,"Hence: Measured and regular advance or movement, like that of soldiers moving in order; stately or deliberate walk; steady onward movement."
93481,March,n.,"The distance passed over in marching; as, an hour's march; a march of twenty miles."
93482,March,n.,A piece of music designed or fitted to accompany and guide the movement of troops; a piece of music in the march form.
93524,Marge,n.,Border; margin; edge; verge.
93555,Marie,interj.,Marry.
93664,Marly,superl.,Consisting or partaking of marl; resembling marl; abounding with marl.
93736,Marry,v. t.,"To unite in wedlock or matrimony; to perform the ceremony of joining, as a man and a woman, for life; to constitute (a man and a woman) husband and wife according to the laws or customs of the place."
93737,Marry,v. t.,"To join according to law, (a man) to a woman as his wife, or (a woman) to a man as her husband. See the Note to def. 4."
93738,Marry,v. t.,To dispose of in wedlock; to give away as wife.
93739,Marry,v. t.,To take for husband or wife. See the Note below.
93740,Marry,v. t.,"Figuratively, to unite in the closest and most endearing relation."
93741,Marry,v. i.,To enter into the conjugal or connubial state; to take a husband or a wife.
93742,Marry,interj.,Indeed ! in truth ! -- a term of asseveration said to have been derived from the practice of swearing by the Virgin Mary.
93753,Marsh,n.,"A tract of soft wet land, commonly covered partially or wholly with water; a fen; a swamp; a morass."
93851,-gies,pl. ,of Martyrology
93887,Maser,n.,Same as Mazer.
93898,Mashy,a.,"Produced by crushing or bruising; resembling, or consisting of, a mash."
93929,Mason,n.,"One whose occupation is to build with stone or brick; also, one who prepares stone for building purposes."
93930,Mason,n.,A member of the fraternity of Freemasons. See Freemason.
93931,Mason,v. t.,"To build stonework or brickwork about, under, in, over, etc.; to construct by masons; -- with a prepositional suffix; as, to mason up a well or terrace; to mason in a kettle or boiler."
93974,Masse,n.,Alt. of Masse shot
93991,Massy,superl.,"Compacted into, or consisting of, a mass; having bulk and weight ot substance; ponderous; bulky and heavy; weight; heavy; as, a massy shield; a massy rock."
94059,-ries,pl. ,of Masticatory
94086,Masty,a.,"Full of mast; abounding in acorns, etc."
94107,Match,n.,"Anything used for catching and retaining or communicating fire, made of some substance which takes fire readily, or remains burning some time; esp., a small strip or splint of wood dipped at one end in a substance which can be easily ignited by friction, as a preparation of phosphorus or chlorate of potassium."
94108,Match,v.,A person or thing equal or similar to another; one able to mate or cope with another; an equal; a mate.
94109,Match,v.,"A bringing together of two parties suited to one another, as for a union, a trial of skill or force, a contest, or the like"
94110,Match,v.,"A contest to try strength or skill, or to determine superiority; an emulous struggle."
94111,Match,v.,A matrimonial union; a marriage.
94112,Match,v.,"An agreement, compact, etc."
94113,Match,v.,A candidate for matrimony; one to be gained in marriage.
94114,Match,v.,Equality of conditions in contest or competition.
94115,Match,v.,"Suitable combination or bringing together; that which corresponds or harmonizes with something else; as, the carpet and curtains are a match."
94116,Match,v.,"A perforated board, block of plaster, hardened sand, etc., in which a pattern is partly imbedded when a mold is made, for giving shape to the surfaces of separation between the parts of the mold."
94119,Match,v. t.,To be a mate or match for; to be able to complete with; to rival successfully; to equal.
94120,Match,v. t.,"To furnish with its match; to bring a match, or equal, against; to show an equal competitor to; to set something in competition with, or in opposition to, as equal."
94121,Match,v. t.,To oppose as equal; to contend successfully against.
94122,Match,v. t.,"To make or procure the equal of, or that which is exactly similar to, or corresponds with; as, to match a vase or a horse; to match cloth."
94123,Match,v. t.,"To make equal, proportionate, or suitable; to adapt, fit, or suit (one thing to another)."
94124,Match,v. t.,To marry; to give in marriage.
94125,Match,v. t.,"To fit together, or make suitable for fitting together; specifically, to furnish with a tongue and a groove, at the edges; as, to match boards."
94126,Match,v. i.,To be united in marriage; to mate.
94127,Match,v. i.,"To be of equal, or similar, size, figure, color, or quality; to tally; to suit; to correspond; as, these vases match."
94149,Mated,imp. & p. p.,of Mate
94158,Mater,n.,"See Alma mater, Dura mater, and Pia mater."
94208,Matie,n.,A fat herring with undeveloped roe.
94209,M/tin,n.,A French mastiff.
94210,Matin,n.,Morning.
94211,Matin,n.,Morning worship or service; morning prayers or songs.
94212,Matin,n.,Time of morning service; the first canonical hour in the Roman Catholic Church.
94213,Matin,a.,"Of or pertaining to the morning, or to matins; used in the morning; matutinal."
94264,Matte,n.,"A partly reduced copper sulphide, obtained by alternately roasting and melting copper ore in separating the metal from associated iron ores, and called coarse metal, fine metal, etc., according to the grade of fineness. On the exterior it is dark brown or black, but on a fresh surface is yellow or bronzy in color."
94265,Matte,n.,"A dead or dull finish, as in gilding where the gold leaf is not burnished, or in painting where the surface is purposely deprived of gloss."
94350,Maule,n.,The common mallow.
94356,Maund,n.,A hand basket.
94357,Maund,n.,"An East Indian weight, varying in different localities from 25 to about 82 pounds avoirdupois."
94358,Maund,v. i.,Alt. of Maunder
94375,Mauve,n.,"A color of a delicate purple, violet, or lilac."
